variant,chain,mean_logp,perplexity,n_residues
anthroab,VH,-0.803631412286389,2.2336374772197845,120
anthroab,VL,-0.23114263170990287,1.2600389481425653,111
anthroab,paired,-0.5285394008405451,1.6964526608431696,231
anthroabFRmasked,VH,-1.1224543511227238,3.0723856702993952,120
anthroabFRmasked,VL,-1.7465018498593823,5.734507380518094,111
anthroabFRmasked,paired,-1.4223213310351441,4.146735221553094,231
humatch,VH,-0.8891957427898888,2.4331719680562207,120
humatch,VL,-0.6436128892364319,1.9033450469330826,110
humatch,paired,-0.771743073699105,2.1635341684605813,230
parental,VH,-0.5188265528355259,1.6800550367276827,120
parental,VL,-0.9458380203320738,2.5749703521778433,111
parental,paired,-0.7240138813728281,2.0626960337419775,231
sapiens,VH,-0.7851262322452385,2.1926837106520973,120
sapiens,VL,-0.1862311202223593,1.2047006588887863,111
sapiens,paired,-0.4973454641303485,1.6443504847186643,231
